year,ava,mva,aal
2001,18394458066,18061522186,17527695642
2002,18909071718,16447568765,18449520698
2003,19478554993,17467352722,19959111546
2004,20036646562,18797737524,20591847998
2005,20835468872,20448700225,21969670180
2006,21780437358,21548112355,22884917422
2007,22938947000,23479671451,23987165000
2008,23511918000,21464265123,25403280000
2009,23509622000,19097775053,26907779257
2010,23628567000,19580610447,28411814508
2011,23997445000,21204091002,29050127601
2012,24272514000,21825643968,3.00E+10
2013,24667639104,22868542011,31886026375
2014,25431922496,25050116469,32924737211
2015,25850542024,23998481161,33868359950
2016,26557130705,24465580124,3.53E+10
2017,26371827298,26371827298,37629785374
2018,27359943116,27753334784,38989263562
2019,28060120223,27351224157,39801358678
2020,28543207745,27946206540,43258312073
2021,30065356135,33608244434,4.42E+10