year,net_amo,rem_ual
2001,0,0
2002,0,0
2003,0,480648980
2004,50752456,504448980
2005,177352328,956848980
2006,258221047,846259017
2007,323829272,724388728
2008,383732536,1507629464
2009,590729301,2807427956
2010,813303359,3969944149
2011,1126987587,3925695014
2012,1519564848,4185077943
2013,1943977189,5274410082
2014,2341632456,5151182259
2015,2736861830,5280956096
2016,2857451193,5888583464
2017,3217251120,8040706956
2018,3657725742,7971594704
2019,4105785372,7635453083
2020,4626378050,10088726278
2021,5240503745,8877827286