year,arr,mva,ava
2001,0.08,-0.0691,0.076
2002,0.08,-0.0717,0.047
2003,0.08,0.092,0.054
2004,0.08,0.1169,0.064
2005,0.08,0.1271,0.075
2006,0.08,0.0883,0.077
2007,0.08,0.1388,0.086
2008,0.08,-0.0458,0.057
2009,0.08,-0.066,0.032
2010,0.08,0.0665,0.036
2011,0.08,0.1258,0.05
2012,0.08,0.0822,0.054
2013,0.08,0.1007,0.061
2014,0.08,0.147,0.076
2015,0.08,0.0049,0.061
2016,0.08,0.0532,0.059
2017,0.075,0.1215,0.028
2018,0.075,0.0958,0.079
2019,0.075,0.0304,0.069
2020,0.07,0.0685,0.061
2021,0.07,0.2551,0.1