year,contributions,interest,neg_amo
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,-551610174,-109297679,-442312495
2005,-370854878,93415468,-464270346
2006,-324825842,174924598,-499750440
2007,-356604765,188373545,-544978310
2008,-528474332,77697395,-606171727
2009,-332575753,304142206,-636717959
2010,-230083945,-279450284,49366339
2011,869177714,778896417,90281297
2012,1254523345,1099755124,154768221
2013,1529217395,1331465279,197752116
2014,1558367257,1342454645,215912612
2015,1599199061,1362428896,236770165
2016,1728140635,1458884747,269255888
2017,1751803054,1444410896,307392158
2018,1755681292,1425528693,330152599
2019,2041568777,1652463159,389105618
2020,2072020485,1641497531,430522954
2021,2119861951,1642613660,477248291