year,net_amo,rem_ual
2001,34639000,5230628000
2002,216383000,14256819000
2003,1794683000,17037142000
2004,2192714000,17613627000
2005,2317963000,20051544000
2006,2587073000,19362974000
2007,2913701000,14455131000
2008,4733385000,18234340000
2009,5235762000,36538096000
2010,7193018000,38774410000
2011,9255296000,40655709000
2012,11429931000,46812333000
2013,14148269000,31775908000
2014,15060614000,29509882000
2015,15677052000,30358655000
2016,16249745000,30641785000
2017,16230020000,23910228000
2018,15976878000,23788699000
2019,15655574000,23429108000
2020,15249062000,22314607000
2021,14704632000,20830012000